EEID;First Name;Last Name;Gender;Age;Retirement Years;Job Title;Department;Business Unit;Ethnicity;Hire Date;año;mes;dia;Annual Salary;Bonus %;Total Salary;Country;City;Exit Date
E02387;Emily;Davis;Female;55;10;Sr. Manger;IT;Research & Development;Black;8/4/2016;2016;4;8;141,604;0,15;162,8446;United States;Seattle;16/10/2021
E04105;Theodore;Dinh;Male;59;6;Technical Architect;IT;Manufacturing;Asian;29/11/1997;1997;11;29;99,975;0;99,975;China;Chongqing;
E02572;Luna;Sanders;Female;50;15;Director;Finance;Speciality Products;Caucasian;26/10/2006;2006;10;26;163,099;0,2;195,7188;United States;Chicago;
E02832;Penelope;Jordan;Female;26;39;Computer Systems Manager;IT;Manufacturing;Caucasian;27/9/2019;2019;9;27;84,913;0,07;90,85691;United States;Chicago;
E01639;Austin;Vo;Male;55;10;Sr. Analyst;Finance;Manufacturing;Asian;20/11/1995;1995;11;20;95,409;0;95,409;United States;Phoenix;
E00644;Joshua;Gupta;Male;57;8;Account Representative;Sales;Corporate;Asian;24/1/2017;2017;1;24;50,994;0;50,994;China;Chongqing;
E01550;Ruby;Barnes;Female;27;38;Manager;IT;Corporate;Caucasian;1/7/2020;2020;7;1;119,746;0,1;131,7206;United States;Phoenix;
E04332;Luke;Martin;Male;25;40;Analyst;Finance;Manufacturing;Black;16/5/2020;2020;5;16;41,336;0;41,336;United States;Miami;20/5/2021
E04533;Easton;Bailey;Male;29;36;Manager;Accounting;Manufacturing;Caucasian;25/1/2019;2019;1;25;113,527;0,06;120,33862;United States;Austin;
E03838;Madeline;Walker;Female;34;31;Sr. Analyst;Finance;Speciality Products;Caucasian;13/6/2018;2018;6;13;77,203;0;77,203;United States;Chicago;
E00591;Savannah;Ali;Female;36;29;Sr. Manger;Human Resources;Manufacturing;Asian;11/2/2009;2009;2;11;157,333;0,15;180,93295;United States;Miami;
E03344;Camila;Rogers;Female;27;38;Controls Engineer;Engineering;Speciality Products;Caucasian;21/10/2021;2021;10;21;109,851;0;109,851;United States;Seattle;
E00530;Eli;Jones;Male;59;6;Manager;Human Resources;Manufacturing;Caucasian;14/3/1999;1999;3;14;105,086;0,09;114,54374;United States;Austin;
E04239;Everleigh;Ng;Female;51;14;Sr. Manger;Finance;Research & Development;Asian;10/6/2021;2021;6;10;146,742;0,1;161,4162;China;Shanghai;
E03496;Robert;Yang;Male;31;34;Sr. Analyst;Accounting;Speciality Products;Asian;4/11/2017;2017;11;4;97,078;0;97,078;United States;Austin;9/3/2020
E00549;Isabella;Xi;Female;41;24;Vice President;Marketing;Research & Development;Asian;13/3/2013;2013;3;13;249,27;0,3;324,051;United States;Seattle;
E00163;Bella;Powell;Female;65;0;Director;Finance;Research & Development;Black;4/3/2002;2002;3;4;175,837;0,2;211,0044;United States;Phoenix;
E00884;Camila;Silva;Female;64;1;Sr. Manger;Marketing;Speciality Products;Latino;1/12/2003;2003;12;1;154,828;0,13;174,95564;United States;Seattle;
